posicao,combinacao,pre,proc,pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,tempo_total_s
49,nada + e5_tfidf + medidas_graphrag_idf_taxonomia,nada,e5_tfidf,medidas_graphrag_idf_taxonomia,1375,0.6257,0.4916,0.7215,0.8036,0.8778,0.4916,1.58
50,nada + e5_taxonomia + nada,nada,e5_taxonomia,nada,1375,0.6524,0.5455,0.7207,0.7869,0.8531,0.5455,0.09
51,nada + e5_tfidf_kg + nada,nada,e5_tfidf_kg,nada,1375,0.6431,0.5273,0.72,0.7993,0.8655,0.5273,0.5
52,nada + e5_tfidf_kg + medidas_graphrag,nada,e5_tfidf_kg,medidas_graphrag,1375,0.6305,0.5055,0.72,0.7993,0.864,0.5055,0.69
53,nada + e5_tfidf_kg + medidas_graphrag_idf,nada,e5_tfidf_kg,medidas_graphrag_idf,1375,0.6364,0.5164,0.72,0.7956,0.8604,0.5164,0.67
54,basico + e5_tfidf_kg + taxonomia_rotulo,basico,e5_tfidf_kg,taxonomia_rotulo,1375,0.6322,0.5025,0.7193,0.8015,0.8851,0.5025,0.54
55,basico + e5 + taxonomia,basico,e5,taxonomia,1375,0.6457,0.5367,0.7171,0.7847,0.8524,0.5367,0.17
56,basico + e5_tfidf_kg + medidas_taxonomia,basico,e5_tfidf_kg,medidas_taxonomia,1375,0.6284,0.4967,0.7171,0.8,0.8851,0.4967,0.54
57,nada + e5_taxonomia + medidas_graphrag_taxonomia,nada,e5_taxonomia,medidas_graphrag_taxonomia,1375,0.6477,0.5433,0.7156,0.7876,0.8415,0.5433,0.22
58,basico + e5_tfidf_taxonomia + medidas_graphrag_idf_taxonomia,basico,e5_tfidf_taxonomia,medidas_graphrag_idf_taxonomia,1375,0.6163,0.4756,0.7156,0.8,0.8815,0.4756,0.69
59,basico + e5_taxonomia + medidas,basico,e5_taxonomia,medidas,1375,0.6391,0.5324,0.7142,0.7811,0.8422,0.5324,0.18
60,nada + e5_taxonomia + graphrag_idf,nada,e5_taxonomia,graphrag_idf,1375,0.6424,0.5302,0.7135,0.7935,0.856,0.5302,0.19
