posicao,combinacao,pre,proc,pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,tempo_total_s
81,rede_semantica + fuzzy + nada,rede_semantica,fuzzy,nada,1012,0.4091,0.2974,0.4674,0.5623,0.6868,0.2974,5.01
82,graphrag + e5_cross + unidades,graphrag,e5_cross,unidades,1012,0.4082,0.2964,0.4358,0.498,0.7441,0.2964,0.08
83,nada + tfidf + pdm,nada,tfidf,pdm,1012,0.4054,0.2806,0.4872,0.5672,0.6996,0.2806,0.46
84,graphrag_leve + tfidf + pdm,graphrag_leve,tfidf,pdm,1012,0.4049,0.2737,0.4664,0.5761,0.751,0.2737,0.44
85,graphrag + fuzzy + graphrag,graphrag,fuzzy,graphrag,1012,0.4032,0.3034,0.4595,0.5346,0.6472,0.3034,4.92
86,graphrag_leve + e5_cross + graphrag,graphrag_leve,e5_cross,graphrag,1012,0.4004,0.2866,0.4219,0.504,0.7569,0.2866,0.08
87,rede_semantica + e5_cross + nada,rede_semantica,e5_cross,nada,1012,0.3978,0.2866,0.3992,0.4615,0.7846,0.2866,0.04
88,graphrag_leve + e5_cross + pdm,graphrag_leve,e5_cross,pdm,1012,0.3917,0.2638,0.4358,0.5375,0.7569,0.2638,0.15
89,graphrag + fuzzy + nada,graphrag,fuzzy,nada,1012,0.3891,0.2856,0.4486,0.5326,0.6472,0.2856,4.9
90,graphrag_leve + e5_cross + nada,graphrag_leve,e5_cross,nada,1012,0.3852,0.2727,0.3992,0.4625,0.7569,0.2727,0.06
91,graphrag + e5_cross + graphrag,graphrag,e5_cross,graphrag,1012,0.3839,0.2658,0.413,0.4951,0.7441,0.2658,0.07
92,graphrag + fuzzy + pdm,graphrag,fuzzy,pdm,1012,0.3798,0.2787,0.4358,0.5099,0.6472,0.2787,5.03
93,graphrag + tfidf + pdm,graphrag,tfidf,pdm,1012,0.3765,0.252,0.4239,0.5247,0.7292,0.252,0.45
94,nada + fuzzy + unidades_graphrag,nada,fuzzy,unidades_graphrag,1012,0.3741,0.2836,0.4427,0.4951,0.5494,0.2836,7.19
95,graphrag + e5_cross + nada,graphrag,e5_cross,nada,1012,0.373,0.2559,0.3903,0.4625,0.7441,0.2559,0.05
96,graphrag + e5_cross + pdm,graphrag,e5_cross,pdm,1012,0.3668,0.2381,0.3992,0.5188,0.7441,0.2381,0.14
97,nada + fuzzy + graphrag,nada,fuzzy,graphrag,1012,0.359,0.2668,0.4219,0.4852,0.5494,0.2668,7.15
98,nada + fuzzy + unidades,nada,fuzzy,unidades,1012,0.3415,0.251,0.3962,0.4545,0.5494,0.251,7.19
99,nada + fuzzy + pdm,nada,fuzzy,pdm,1012,0.3292,0.2322,0.3883,0.4605,0.5494,0.2322,7.23
100,nada + fuzzy + nada,nada,fuzzy,nada,1012,0.3105,0.2144,0.3597,0.4338,0.5494,0.2144,7.13
