posicao,combinacao,pre,proc,pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,tempo_total_s
59,basico + e5 + nada,basico,e5,nada,1375,0.6689,0.5622,0.7425,0.8058,0.8691,0.5622,0.13
60,nada + e5 + nada,nada,e5,nada,1375,0.6748,0.5687,0.7404,0.8116,0.8815,0.5687,0.14
61,basico + e5 + medidas,basico,e5,medidas,1375,0.6575,0.5455,0.7382,0.8124,0.8771,0.5455,0.19
62,nada + e5_tfidf + medidas_graphrag,nada,e5_tfidf,medidas_graphrag,1375,0.652,0.5302,0.7331,0.816,0.8873,0.5302,1.2
63,nada + e5_tfidf + medidas_graphrag_idf,nada,e5_tfidf,medidas_graphrag_idf,1375,0.6588,0.5411,0.7331,0.8204,0.8873,0.5411,1.22
64,nada + e5 + medidas,nada,e5,medidas,1375,0.6624,0.5498,0.7324,0.8189,0.8858,0.5498,2.86
65,nada + e5 + taxonomia,nada,e5,taxonomia,1375,0.6573,0.5462,0.7258,0.7978,0.8735,0.5462,2.96
66,nada + e5_tfidf + medidas,nada,e5_tfidf,medidas,1375,0.6467,0.5258,0.7244,0.8131,0.8873,0.5258,1.13
67,basico + e5 + taxonomia,basico,e5,taxonomia,1375,0.6457,0.5367,0.7171,0.7847,0.8524,0.5367,0.13
68,nada + e5_tfidf + graphrag_idf_aditivo,nada,e5_tfidf,graphrag_idf_aditivo,1375,0.6341,0.5127,0.712,0.7942,0.8691,0.5127,1.13
69,basico + e5_tfidf + taxonomia,basico,e5_tfidf,taxonomia,1375,0.6326,0.5127,0.7069,0.7804,0.8778,0.5127,0.8
70,nada + e5_tfidf + taxonomia,nada,e5_tfidf,taxonomia,1375,0.612,0.4873,0.6836,0.7724,0.8698,0.4873,1.06
