posicao,combinacao,pre,proc,pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,tempo_total_s
28,nada + e5_tfidf_taxonomia + nada,nada,e5_tfidf_taxonomia,nada,1375,0.6272,0.4778,0.7389,0.8327,0.9004,0.4778,0.54
29,nada + e5_tfidf_taxonomia + medidas_graphrag_idf,nada,e5_tfidf_taxonomia,medidas_graphrag_idf,1375,0.6614,0.5367,0.7382,0.8262,0.9011,0.5367,0.74
30,basico + e5 + medidas,basico,e5,medidas,1375,0.6575,0.5455,0.7382,0.8124,0.8771,0.5455,1.11
31,nada + e5_tfidf_kg + medidas_graphrag,nada,e5_tfidf_kg,medidas_graphrag,1375,0.6476,0.5265,0.7375,0.8087,0.8705,0.5265,0.81
32,nada + e5 + medidas_taxonomia,nada,e5,medidas_taxonomia,1375,0.6702,0.5615,0.7345,0.8196,0.8785,0.5615,0.23
33,nada + e5_taxonomia + medidas_graphrag_idf_taxonomia,nada,e5_taxonomia,medidas_graphrag_idf_taxonomia,1375,0.6657,0.5622,0.7345,0.8036,0.8509,0.5622,0.25
34,nada + e5_tfidf + medidas_graphrag,nada,e5_tfidf,medidas_graphrag,1375,0.652,0.5302,0.7331,0.816,0.8873,0.5302,1.42
35,nada + e5_tfidf + medidas_graphrag_idf,nada,e5_tfidf,medidas_graphrag_idf,1375,0.6588,0.5411,0.7331,0.8204,0.8873,0.5411,1.42
36,nada + e5_tfidf_taxonomia + medidas_graphrag,nada,e5_tfidf_taxonomia,medidas_graphrag,1375,0.6481,0.52,0.7331,0.8233,0.8989,0.52,0.7
37,nada + e5 + medidas,nada,e5,medidas,1375,0.6624,0.5498,0.7324,0.8189,0.8858,0.5498,3.19
38,basico + e5_tfidf_taxonomia + medidas,basico,e5_tfidf_taxonomia,medidas,1375,0.6238,0.4735,0.7324,0.8211,0.9098,0.4735,1.63
39,nada + e5_tfidf_kg + medidas_graphrag_idf,nada,e5_tfidf_kg,medidas_graphrag_idf,1375,0.6501,0.5338,0.7316,0.8044,0.8691,0.5338,0.8
40,basico + e5 + medidas_taxonomia,basico,e5,medidas_taxonomia,1375,0.6512,0.5389,0.7295,0.8007,0.8655,0.5389,1.16
41,nada + e5_taxonomia + medidas,nada,e5_taxonomia,medidas,1375,0.6574,0.5484,0.7287,0.8036,0.8604,0.5484,0.19
42,basico + e5_tfidf + medidas_graphrag_idf_taxonomia,basico,e5_tfidf,medidas_graphrag_idf_taxonomia,1375,0.6438,0.5193,0.7287,0.8131,0.8865,0.5193,1.91
43,basico + e5_taxonomia + medidas_graphrag_idf_taxonomia,basico,e5_taxonomia,medidas_graphrag_idf_taxonomia,1375,0.6443,0.5375,0.7287,0.792,0.8378,0.5375,1.14
44,nada + e5_tfidf + medidas_graphrag_idf_taxonomia,nada,e5_tfidf,medidas_graphrag_idf_taxonomia,1375,0.6376,0.5098,0.7273,0.8124,0.8822,0.5098,1.45
45,basico + e5 + graphrag_idf,basico,e5,graphrag_idf,1375,0.6432,0.5265,0.7273,0.8,0.8669,0.5265,1.15
46,basico + e5_tfidf_kg + medidas_taxonomia,basico,e5_tfidf_kg,medidas_taxonomia,1375,0.6341,0.5018,0.7265,0.808,0.8895,0.5018,1.42
47,nada + e5 + taxonomia,nada,e5,taxonomia,1375,0.6573,0.5462,0.7258,0.7978,0.8735,0.5462,3.43
48,basico + e5 + taxonomia_rotulo,basico,e5,taxonomia_rotulo,1375,0.6609,0.5578,0.7258,0.7956,0.8575,0.5578,1.13
49,basico + e5_tfidf + medidas_graphrag_taxonomia,basico,e5_tfidf,medidas_graphrag_taxonomia,1375,0.6331,0.5011,0.7258,0.8109,0.8844,0.5011,1.88
50,nada + e5_tfidf + medidas,nada,e5_tfidf,medidas,1375,0.6467,0.5258,0.7244,0.8131,0.8873,0.5258,1.31
51,nada + e5_tfidf_kg + medidas,nada,e5_tfidf_kg,medidas,1375,0.6389,0.5164,0.7244,0.8124,0.8778,0.5164,0.68
52,basico + e5_tfidf_kg + medidas_graphrag_idf_taxonomia,basico,e5_tfidf_kg,medidas_graphrag_idf_taxonomia,1375,0.638,0.5135,0.7222,0.8022,0.8793,0.5135,1.62
53,nada + e5 + graphrag_idf,nada,e5,graphrag_idf,1375,0.6442,0.5222,0.7215,0.7985,0.8771,0.5222,0.26
54,nada + e5_tfidf_kg + medidas_graphrag_idf_taxonomia,nada,e5_tfidf_kg,medidas_graphrag_idf_taxonomia,1375,0.6291,0.5025,0.7215,0.7927,0.8647,0.5025,0.79
55,nada + e5_taxonomia + medidas_graphrag_taxonomia,nada,e5_taxonomia,medidas_graphrag_taxonomia,1375,0.6506,0.5447,0.7215,0.7927,0.8436,0.5447,0.28
56,nada + e5_taxonomia + nada,nada,e5_taxonomia,nada,1375,0.6524,0.5455,0.7207,0.7869,0.8531,0.5455,0.11
57,basico + e5_tfidf_kg + medidas_graphrag_taxonomia,basico,e5_tfidf_kg,medidas_graphrag_taxonomia,1375,0.6327,0.5047,0.7207,0.8015,0.8807,0.5047,1.51
58,basico + e5_tfidf_taxonomia + medidas_graphrag_idf_taxonomia,basico,e5_tfidf_taxonomia,medidas_graphrag_idf_taxonomia,1375,0.6296,0.4953,0.7207,0.8058,0.8829,0.4953,1.69
59,nada + e5_tfidf_kg + nada,nada,e5_tfidf_kg,nada,1375,0.6431,0.5273,0.72,0.7993,0.8655,0.5273,0.6
60,basico + e5_tfidf_kg + taxonomia_rotulo,basico,e5_tfidf_kg,taxonomia_rotulo,1375,0.6322,0.5025,0.7193,0.8015,0.8851,0.5025,1.42
61,nada + e5_tfidf_kg + medidas_taxonomia,nada,e5_tfidf_kg,medidas_taxonomia,1375,0.6202,0.488,0.7185,0.7993,0.8698,0.488,0.67
62,nada + e5_tfidf_kg + medidas_graphrag_taxonomia,nada,e5_tfidf_kg,medidas_graphrag_taxonomia,1375,0.6193,0.4865,0.7171,0.7927,0.8604,0.4865,0.82
63,basico + e5 + taxonomia,basico,e5,taxonomia,1375,0.6457,0.5367,0.7171,0.7847,0.8524,0.5367,1.07
64,nada + e5_tfidf_taxonomia + medidas,nada,e5_tfidf_taxonomia,medidas,1375,0.6257,0.4865,0.7164,0.8175,0.8996,0.4865,0.6
65,nada + e5_tfidf + medidas_graphrag_taxonomia,nada,e5_tfidf,medidas_graphrag_taxonomia,1375,0.6254,0.4931,0.7156,0.8058,0.8771,0.4931,1.45
66,basico + e5_taxonomia + medidas,basico,e5_taxonomia,medidas,1375,0.6368,0.528,0.7142,0.7825,0.8422,0.528,1.07
67,nada + e5_taxonomia + graphrag_idf,nada,e5_taxonomia,graphrag_idf,1375,0.6424,0.5302,0.7135,0.7935,0.856,0.5302,0.2
68,basico + e5_tfidf + medidas_taxonomia,basico,e5_tfidf,medidas_taxonomia,1375,0.6279,0.5004,0.7113,0.792,0.8771,0.5004,1.82
69,basico + e5_taxonomia + nada,basico,e5_taxonomia,nada,1375,0.6392,0.5353,0.7084,0.7753,0.832,0.5353,1.02
70,basico + e5_tfidf + taxonomia,basico,e5_tfidf,taxonomia,1375,0.6326,0.5127,0.7069,0.7804,0.8778,0.5127,1.76
71,basico + e5_taxonomia + graphrag_idf,basico,e5_taxonomia,graphrag_idf,1375,0.6322,0.5244,0.7069,0.7789,0.8407,0.5244,1.1
72,nada + e5_tfidf_taxonomia + medidas_graphrag_idf_taxonomia,nada,e5_tfidf_taxonomia,medidas_graphrag_idf_taxonomia,1375,0.6211,0.488,0.7047,0.7971,0.8778,0.488,0.72
73,basico + e5_tfidf_taxonomia + medidas_graphrag_taxonomia,basico,e5_tfidf_taxonomia,medidas_graphrag_taxonomia,1375,0.6098,0.4691,0.7047,0.7971,0.8778,0.4691,1.72
74,basico + e5_tfidf_kg + taxonomia,basico,e5_tfidf_kg,taxonomia,1375,0.618,0.4865,0.704,0.7905,0.8793,0.4865,1.37
75,basico + e5_taxonomia + medidas_graphrag_taxonomia,basico,e5_taxonomia,medidas_graphrag_taxonomia,1375,0.6337,0.5295,0.704,0.7753,0.8255,0.5295,1.13
76,nada + e5_taxonomia + taxonomia_rotulo,nada,e5_taxonomia,taxonomia_rotulo,1375,0.6368,0.5295,0.7025,0.7702,0.8342,0.5295,0.16
77,basico + e5_tfidf + taxonomia_rotulo,basico,e5_tfidf,taxonomia_rotulo,1375,0.624,0.5004,0.6996,0.7833,0.8727,0.5004,1.83
78,nada + e5_tfidf + medidas_taxonomia,nada,e5_tfidf,medidas_taxonomia,1375,0.619,0.4916,0.6967,0.7884,0.8756,0.4916,1.33
79,nada + e5_taxonomia + medidas_taxonomia,nada,e5_taxonomia,medidas_taxonomia,1375,0.6256,0.5149,0.696,0.7695,0.8247,0.5149,0.17
80,basico + e5_tfidf + graphrag_idf,basico,e5_tfidf,graphrag_idf,1375,0.5958,0.4516,0.696,0.7876,0.8851,0.4516,1.84
81,nada + e5_tfidf_kg + taxonomia_rotulo,nada,e5_tfidf_kg,taxonomia_rotulo,1375,0.6071,0.4793,0.6938,0.7731,0.8625,0.4793,0.66
